"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
182,14,"AUS","Australia",1,"Ashmore and Cartier Islands","","","Territory","Territory"
183,14,"AUS","Australia",2,"Australian Capital Territory","","","Territory","Territory"
184,14,"AUS","Australia",3,"Coral Sea Islands","","","Territory","Territory"
185,14,"AUS","Australia",4,"New South Wales","","","State","State"
186,14,"AUS","Australia",5,"Northern Territory","","","Territory","Territory"
187,14,"AUS","Australia",6,"Queensland","","","State","State"
188,14,"AUS","Australia",7,"South Australia","","","State","State"
189,14,"AUS","Australia",8,"Tasmania","","","State","State"
190,14,"AUS","Australia",9,"Unknown1","","","State","State"
191,14,"AUS","Australia",10,"Victoria","","","State","State"
192,14,"AUS","Australia",11,"Western Australia","","","State","State"
